"product-img href","img-responsive src","img-responsive src 2","stat-1","name","description","product-label 4","price-new","price-old"
"https://www.vedantcomputers.com/msi-b760m-gaming-plus-wifi-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-gaming-plus-wifi/b760m-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-gaming-plus-wifi/b760m-gaming-plus-wifi-2-350x350.jpg","B760M GAMING PLUS WIFI","MSI B760M Gaming Plus Wifi Motherboard","B760M GAMING PLUS
WIFISupport Intel®
Core™ 14th/ 13th/ 12th Gen Processors, Intel® Pentium® Gold and Celeron®
Processors for LGA 1700 socket
..","-45%","₹16,020.00","₹28,999.00"
"https://www.vedantcomputers.com/msi-b850-gaming-plus-wifi6e?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850-gaming-plus-wifi6e/b850-gaming-plus-wifi6e-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850-gaming-plus-wifi6e/b850-gaming-plus-wifi6e-2-350x350.jpg","B850 GAMING PLUS WIFI6E","MSI B850 Gaming Plus WIFI6E Motherboard","B850 GAMING PLUS
WIFI6ESupports AMD Ryzen™
9000 / 8000 / 7000 Series Desktop ProcessorsSupports DDR5
Memory, Dual Channel DDR5 8200+ MT/s (..","-51%","₹17,100.00","₹34,999.00"
"https://www.vedantcomputers.com/msi-b850-gaming-plus-wifi?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850-gaming-plus-wifi/b850-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850-gaming-plus-wifi/b850-gaming-plus-wifi-2-350x350.jpg","B850 GAMING PLUS WIFI","MSI B850 Gaming Plus Wifi7 Motherboard","B850 GAMING PLUS WIFISupports AMD Ryzen™ 9000 / 8000 / 7000 Series Desktop
ProcessorsSupports DDR5 Memory, Dual Channel DDR5 8200+ MT/s (OC)
..","-58%","₹21,100.00","₹49,999.00"
"https://www.vedantcomputers.com/msi-b850m-gaming-plus-wifi6e?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850m-gaming-plus-wifi6e/b850m-gaming-plus-wifi6e-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850m-gaming-plus-wifi6e/b850m-gaming-plus-wifi6e-2-350x350.jpg","B850M GAMING PLUS WIFI6E","MSI B850M Gaming Plus WIFI6E Motherboard","B850M GAMING PLUS
WIFI6ESupports AMD Ryzen 9000 / 8000 / 7000 Series Desktop ProcessorsSupports DDR5
Memory, Dual Channel DDR5 8200+ MT/s (O..","-49%","₹15,690.00","₹30,999.00"
"https://www.vedantcomputers.com/msi-b850m-gaming-plus-wifi?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850m-gaming-plus-wifi/b850m-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b850m-gaming-plus-wifi/b850m-gaming-plus-wifi-2-350x350.jpg","B850M GAMING PLUS WIFI","MSI B850M Gaming Plus Wifi7 Motherboard","B850M GAMING PLUS WIFISupports AMD Ryzen™ 9000 / 8000 / 7000 Series Desktop
ProcessorsSupports DDR5 Memory, Dual Channel DDR5 8200+ MT/s (OC)..","-42%","₹19,720.00","₹33,999.00"
"https://www.vedantcomputers.com/msi-b860-gaming-plus-wifi?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860-gaming-plus-wifi/b860-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860-gaming-plus-wifi/b860-gaming-plus-wifi-2-350x350.jpg","B860 GAMING PLUS WIFI","MSI B860 Gaming Plus Wifi Motherboard","B860 GAMING PLUS WIFISupport Intel® Core™ Ultra Processors (Series 2) for LGA
1851 socketSupports DDR5 Memory, Dual Channel DDR5 8600+ MT/s (..","-43%","₹20,450.00","₹35,999.00"
"https://www.vedantcomputers.com/msi-b860m-gaming-plus-wifi?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-plus-wifi/b860m-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-plus-wifi/b860m-gaming-plus-wifi-2-350x350.jpg","B860M GAMING PLUS WIFI","MSI B860M Gaming Plus Wifi Motherboard","B860M GAMING PLUS WIFISupport Intel® Core™ Ultra Processors (Series 2) for LGA
1851 socketSupports DDR5 Memory, Dual Channel DDR5 8600+ MT/s ..","-48%","₹17,555.00","₹33,990.00"
"https://www.vedantcomputers.com/msi-b860m-gaming-plus-wifi6e?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-plus-wifi6e/b860m-gaming-plus-wifi6e-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-plus-wifi6e/b860m-gaming-plus-wifi6e_2-350x350.jpg","B860M GAMING PLUS WIFI6E","MSI B860M Gaming Plus WIFI6E Motherboard","B860M GAMING PLUS WIFI6ESupport Intel Core Ultra Processors (Series 2) for LGA
1851 socketSupports DDR5 Memory, Dual Channel DDR5 8800+ MT/s ..","-51%","₹16,990.00","₹34,990.00"
"https://www.vedantcomputers.com/msi-b860m-gaming-wifi?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-wifi/b860m-gaming-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b860m-gaming-wifi/b860m-gaming-wifi-2-350x350.jpg","B860M GAMING WIFI","MSI B860M Gaming Wifi Motherboard","B860M GAMING WIFISupport Intel® Core™ Ultra Processors (Series 2) for LGA
1851 socketSupports DDR5 Memory, Dual Channel DDR5-9066+ MT/s (OC)
..","-49%","₹13,765.00","₹26,999.00"
"https://www.vedantcomputers.com/msi-clutch-gm08?search=msi&page=2","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/mouse/clutch-gm08/clutch-gm08-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/mouse/clutch-gm08/clutch-gm08-2-350x350.jpg","CLUTCH GM08","MSI Clutch GM08 Gaming Mouse","Clutch GM08Accurate optical sensorDurable build qualityAdjustable weight systemOn the fly change 
Specifi..","-36%","₹1,050.00","₹1,650.00"
